date,Argentina,Bolivia,Chile,Colombia,Ecuador,Mexico,Paraguay,Peru,Uruguay,Venezuela
2012-02-01,28.86704764,23.05342812,25.76836899,20.41865086,16.60294379,22.955035,15.9076816,28.06824549,18.32017204,18.60573037
2012-03-01,29.37696279,24.1503934,25.64776827,20.63659414,17.67236707,23.76834914,21.10202485,30.4307267,16.38073132,22.33603835
2012-04-01,26.6892861,23.49490159,23.69645495,19.96503643,16.73866727,22.30380022,15.12631277,29.0482331,19.84137039,20.06595239
2012-05-01,27.57890137,20.63708914,24.52065356,20.14383733,16.96011576,22.77164124,15.35213528,30.26648628,15.79965282,20.56741777
2012-06-01,28.08476994,22.65559847,23.51300517,18.57286981,15.47529745,20.11936896,14.65782082,29.70906204,14.69065774,20.33033493
2012-07-01,25.75423804,24.16848561,24.46144505,19.38276454,17.17650921,20.62104431,16.81950323,29.2375093,15.97864395,21.58460813
2012-08-01,26.58245471,24.81957905,22.99448662,19.97352142,16.76789198,23.18602589,17.01671162,28.67304942,16.92848881,21.62672739
2012-09-01,24.27115378,22.14814733,22.66437786,18.44679863,18.03767949,23.17273006,16.40612785,30.49175714,16.65247199,22.77158584
2012-10-01,25.5108458,23.17985839,24.82448601,17.42664286,16.11434896,19.76336085,13.18618304,29.22073727,16.27615479,17.97099115
2012-11-01,25.25896951,20.550696,24.8464412,17.11536641,15.57813229,19.72513807,11.2668299,27.94530981,15.7637802,19.0592082
2012-12-01,21.7495081,19.2419942,21.74713601,17.20518154,14.68265693,16.55587439,12.93820277,28.52812053,13.95347019,16.82364961
2013-01-01,21.88920292,22.31266276,25.75313035,16.91362187,14.09734071,21.71178457,12.66603915,24.85321299,14.52618818,18.91043128
2013-02-01,24.22372199,17.92115194,22.88167317,21.21758234,16.23153269,21.51425866,11.405136,24.78444637,19.26204087,18.05550085
2013-03-01,22.7065022,19.04840537,23.2418865,17.74306239,16.8422553,17.8157999,13.10108687,23.565394,14.57127164,17.56258757
