date,Bolivia,Uruguay,Paraguay,Venezuela,Colombia,Ecuador,Peru,Chile,Argentina,Mexico
2007-04-01,29.369435286083096,15.194433233486253,24.572542199280974,30.195940845731492,29.866697676216457,35.239295996216526,25.532765932735302,31.135891980415508,29.627542483231878,33.931220155604876
2007-05-01,34.114631835788764,20.090053448830755,19.10643871928927,34.24073345952216,35.578711408394554,29.589343681724433,28.045886588635383,33.59525021181993,34.50731544980219,38.92074689037722
2007-06-01,33.657350285834255,20.27306226436226,20.377429770647176,32.210431383500385,37.78453827354638,22.177531916179564,30.40675977938183,32.35396103120253,37.74421554910453,42.4613341333123
2007-07-01,30.730550739891953,29.06129956956916,12.030052650571433,36.91935022107818,32.904319444960166,28.244678456853606,26.643672016518227,36.552924591749616,36.26211016257526,43.99859285851451
2007-08-01,28.173699135622844,17.727353866298646,20.922820894535345,31.208835867026636,32.93019273281602,31.42505694494292,29.385333324247345,26.97175594861986,35.542652063290916,34.547664318245694
2007-09-01,31.438145234374947,19.058334504487636,17.190162466506198,32.78063118749197,32.06044306232315,27.481327455458906,25.17255129830677,27.75218002190844,33.28427355799324,39.022640081843974
2007-10-01,30.995280913425535,18.00494068668488,14.442085001786596,35.72505922524765,30.443871387152996,33.00960589722443,31.24927333763317,37.77672024331309,38.25899706501868,41.985148813222075
2007-11-01,26.89047611222568,22.074143993199648,11.164777498482144,34.57231288239107,34.12299650445865,32.12351916601858,30.243393421072184,29.616321898948243,32.88769547302582,43.75763257643355
2007-12-01,26.88425523789376,22.04278266681629,10.488901715061404,41.07767792301878,29.6021228311788,34.383613186501016,27.87965248017894,25.617960617059545,27.669581647095903,41.328363307018144
2008-01-01,27.31360259199122,19.590994983608063,17.785316478289616,34.21529534968182,27.653062678196154,34.07099198563069,29.42665646060195,29.409387027679767,38.56217620286277,40.57850050830652
2008-02-01,27.78745811174471,21.363062510285538,17.28764564878607,31.239137825106113,31.337292731466064,23.848339857388787,33.02984807357043,21.360383612515754,28.882446605375254,44.131485534983526
2008-03-01,30.33821381967838,10.813241749238204,11.849934568647758,31.09518930907227,28.290704231847776,24.596560985295575,33.44769934543404,27.38516003583961,31.051599787535007,34.70906183519843
2008-04-01,32.17505864087912,31.035411134598142,16.799524909410877,33.62693507539522,32.08291569919731,33.41456334831326,30.77957892611434,31.690773815394543,34.55693073962518,41.885629233726554
2008-05-01,29.100936784808745,30.07306567214022,16.22163273879805,31.504842761221774,28.54006311379662,28.720494294269265,26.71500476427947,30.826790517431267,35.79291910849331,37.032951131678374
2008-06-01,25.79170511774226,26.860219019088884,17.184360450062574,32.768448190605234,30.413522389652933,20.806064565564583,26.958745795532536,33.955389181614905,33.011479690701705,37.34562194156135
2008-07-01,33.76812248864688,22.274077047402894,19.01307781025913,32.74168189827239,26.536390701786612,21.608502841441037,29.32049761897907,34.97542185469306,31.73051113225102,32.8831848581082
2008-08-01,26.704854028139547,23.83718880109009,18.938754536403348,24.17729140582397,24.702751365883056,26.803919563578297,24.60215165243105,27.547388902974344,26.44912983641704,38.05013203494724
2008-09-01,31.896237398166416,24.093400836475578,14.39087301454464,26.261370837933203,27.16681995034763,26.8643174175291,26.643391212206573,28.38525231222107,29.70872394903924,37.33595852545419
2008-10-01,28.42334420146465,21.64417631008205,14.71928733450193,25.82791776495184,26.734593323429554,23.917135229474358,29.070400595443544,32.30986727075825,33.994783090987944,39.811988503235575
2008-11-01,30.24181860635978,23.45134543144179,13.513744627529253,23.280666126672223,27.653351337632014,24.157965789926003,27.879555044496986,31.152878347255186,29.018704234812684,39.15139331510445
2008-12-01,29.82820298727287,21.731784413943927,14.179324065241545,31.44271912532308,31.09894202915196,26.774013994753552,35.76287646110111,27.951026934133747,32.09965136771139,37.82578031901389
